ChibiBMS v0.1 Preliminary BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7937,86.5294,67.49273
Qty,Line Item,Manufacturer,MPN,Total Qty [1],Total Qty [10],Total Qty [100],SKU,SKU,SKU,Unit Price [1],Unit Price [1],Unit Price [1],Unit Price [10],Unit Price [10],Unit Price [10],Unit Price [100],Unit Price [100],Unit Price [100],Distributor [null],SKU [null],Unit Price [1],Unit Price [10],Unit Price [100],Line Total [1],Line Total [10],Line Total [100],Batch Total [1],Batch Total [10],Batch Total [100]
,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,,
1,SZNUP2105LT1G,ON Semiconductor,SZNUP2105LT1G,1,10,100,SZNUP2105LT1GOSDKR-ND,SZNUP2105LT1G,76T7856,0.48,0.47,,0.408,0.346,,0.3059,0.218,,Allied Electronics,70300693,0.337,0.337,0.218,0.337,0.337,0.218,0.337,3.37,21.8
3,MMBZ5242BLT1G,ON Semiconductor,MMBZ5242BLT1G,3,30,300,MMBZ5242BLT1GOSDKR-ND,MMBZ5242BLT1G,85W2816,0.16,0.15,0.024,0.13,0.13,0.024,0.05516,0.046,0.024,Newark,85W2816,0.024,0.024,0.024,0.072,0.072,0.072,0.072,0.72,7.2
4,ZLLS1000TA,Diodes Inc.,ZLLS1000TA,4,40,400,ZLLS1000CT-ND,ZLLS1000TA,,0.64,0.63,,0.536,0.468,,0.4017,0.295,,DKO Electronshik,181043,0.1736,0.1719,0.1719,0.6944,0.6876,0.6876,0.6944,6.876,68.76
1,3555-2,Keystone,3555-2,1,10,100,3555-2K-ND,3555-2,22M2709,1.43,1.38,1.31,1.243,1.22,1.31,1.0725,1.1,1.31,Allied Electronics,70182440,0.995,0.995,0.904,0.995,0.995,0.904,0.995,9.95,90.4
1,1050170001,Molex,105017-0001,1,10,100,WM1399DKR-ND,105017-0001,28X2628,0.87,0.87,0.354,0.763,0.763,0.354,0.6582,0.718,0.354,Newark,28X2628,0.354,0.354,0.354,0.354,0.354,0.354,0.354,3.54,35.4
1,DM3BT-DSF-PEJS,Hirose,DM3BT-DSF-PEJS,1,10,100,HR1942CT-ND,DM3BT-DSF-PEJS,35R0580,2.55,2.31,2.59,2.318,1.89,2.59,1.9866,1.8,2.34,Mouser,DM3BT-DSF-PEJS,2.31,1.82,1.29,2.31,1.82,1.29,2.31,18.2,129
1,705530003,Molex,70553-0002,1,10,100,WM4901-ND,70553-0002,59H2871,1.06,1.34,0.612,0.935,1.07,0.612,0.807,0.814,0.524,Arrow,705530002,0.4257,0.4257,0.3,0.4257,0.4257,0.3,0.4257,4.257,30
1,705530013,Molex,70553-0013,1,10,100,WM4912-ND,70553-0013,39C0231,5.5,4.04,4.15,5.28,3.66,3.76,4.3996,3.02,3.22,Allied Electronics,E5296655,3.892,3.66,1.73525,3.892,3.66,1.73525,3.892,36.6,173.525
1,705530005,Molex,70553-0005,1,10,100,,70553-0005,64T4861,,1.67,1.6,,1.3,1.6,,1.1,1.29,Electro Sonic,705530005,0.74,0.74,0.59907,0.74,0.74,0.59907,0.74,7.4,59.907
1,20021121-00010T4LF,FCI,20021121-00010T4LF,1,10,100,609-3729-ND,20021121-00010T4LF,82R7892,0.74,0.74,,0.69,0.69,,0.529,0.483,,Arrow,20021121-00010T4LF,0.3954,0.3954,0.3954,0.3954,0.3954,0.3954,0.3954,3.954,39.54
2,CBMF1608T1R0M,Taiyo Yuden,CBMF1608T1R0M,2,20,200,587-1717-1-ND,CBMF1608T1R0M,83T0091,0.2,0.2,0.087,0.184,0.173,0.087,0.161,0.161,0.087,Newark,83T0091,0.087,0.087,0.0178,0.174,0.174,0.0356,0.174,1.74,3.56
1,EXC-24CP221U,Panasonic,EXC-24CP221U,1,10,100,P11598DKR-ND,EXC-24CP221U,56W0687,0.7,0.51,,0.66,0.429,,0.5775,0.404,,Mouser,EXC-24CP221U,0.51,0.429,0.404,0.51,0.429,0.404,0.51,4.29,40.4
1,SLF10145T-330M1R6-PF,TDK-Lambda,SLF10145T-330M1R6-PF,1,10,100,445-1983-1-ND,SLF10145T-330M1R6-PF,90R0608,1.2,1.17,0.5,1.125,0.879,0.5,0.855,0.836,0.5,Newark,90R0608,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,50
1,CLV6A-FKB-CK1P1G1BB7R3R3,Cree,CLV6A-FKB-CK1P1G1BB7R3R3,1,10,100,CLV6A-FKB-CK1P1G1BB7R3R3DKR-ND,,28X4736,0.75,,0.441,0.75,,0.441,0.667,,0.441,Newark,28X4736,0.441,0.441,0.441,0.441,0.441,0.441,0.441,4.41,44.1
12,SML-D12V8WT86,Rohm,SML-D12V8WT86,12,120,1200,511-1581-1-ND,SML-D12V8WT86,,0.38,0.273,,0.2014,0.117,,0.095,0.117,,Mouser,SML-D12V8WT86,0.273,0.117,0.095,3.276,1.404,1.14,3.276,14.04,114
16,AOD417,Alpha & Omega,AOD417,16,160,1600,785-1106-1-ND,,,0.53,,,0.3337,,,0.189,,,Digi-Key,785-1106-1-ND,0.53,0.3337,0.189,8.48,5.3392,3.024,8.48,53.392,302.4
2,DMN6140L-7,Diodes Inc.,DMN6140L-7,2,20,200,DMN6140L-7DICT-ND,DMN6140L-7,,0.41,,,0.294,,,0.1731,,,Digi-Key,DMN6140L-7DICT-ND,0.41,0.294,0.1731,0.82,0.588,0.3462,0.82,5.88,34.62
1,ZLLS1000TA,Diodes Inc.,ZLLS1000TA,1,10,100,ZLLS1000CT-ND,ZLLS1000TA,,0.64,0.63,,0.536,0.468,,0.4017,0.295,,DKO Electronshik,181043,0.1736,0.1719,0.1719,0.1736,0.1719,0.1719,0.1736,1.719,17.19
12,ZXMP2120FFTA,Diodes Inc.,ZXMP2120FFTA,12,120,1200,ZXMP2120FFDKR-ND,ZXMP2120FFTA,,0.578,0.51,,0.4448,0.33,,0.264,0.33,,Mouser,ZXMP2120FFTA,0.51,0.33,0.264,6.12,3.96,3.168,6.12,39.6,316.8
24,CR0603-FX-22R0ELF,Bourns,CR0603-FX-22R0ELF,24,240,2400,CR0603-FX-22R0ELFCT-ND,CR0603-FX-22R0ELF,32K2286,0.046,,0.006,0.0187,,0.006,0.0084,,0.006,Newark,32K2286,0.006,0.006,0.006,0.144,0.144,0.144,0.144,1.44,14.4
14,CR0603-FX-1003HLF,Bourns,CR0603-FX-1003HLF,14,140,1400,CR0603-FX-1003HLFDKR-ND,CR0603-FX-1003HLF,06X5117,0.046,,0.015,0.0187,,0.015,0.0084,,0.009,Newark,06X5117,0.015,0.015,0.0084,0.21,0.21,0.1176,0.21,2.1,11.76
10,CR0603-FX-1004ELF,Bourns,CR0603-FX-1004ELF,10,100,1000,CR0603-FX-1004ELFCT-ND,CR0603-FX-1004ELF,02J1987,0.046,,0.007,0.0187,,0.007,0.0084,,0.007,Newark,02J1987,0.007,0.0058,0.0049,0.07,0.058,0.049,0.07,0.58,4.9
13,CR0603-FX-3301ELF,Bourns,CR0603-FX-3301ELF,13,130,1300,CR0603-FX-3301ELFDKR-ND,CR0603-FX-3301ELF,65T8175,0.046,,0.015,0.0187,,0.015,0.0084,,0.009,Newark,65T8175,0.015,0.015,0.0084,0.195,0.195,0.1092,0.195,1.95,10.92
3,CR0603-FX-5600ELF,Bourns,CR0603-FX-5600ELF,3,30,300,CR0603-FX-5600ELFCT-ND,CR0603-FX-5600ELF,32K2484,0.1,,,0.0332,,,0.01424,,,Digi-Key,CR0603-FX-5600ELFCT-ND,0.1,0.0332,0.01424,0.3,0.0996,0.04272,0.3,0.996,4.272
29,CR0603-FX-1000ELF,Bourns,CR0603-FX-1000ELF,29,290,2900,CR0603-FX-1000ELFCT-ND,CR0603-FX-1000ELF,84W7231,0.0332,,0.007,0.01424,,0.007,0.00729,,0.007,Onlinecomponents.com,CR0603FX1000ELF,0.0064,0.0058,0.0047,0.1856,0.1682,0.1363,0.1856,1.682,13.63
5,CR0603-FX-2203ELF,Bourns,CR0603-FX-2203ELF,5,50,500,CR0603-FX-2203ELFCT-ND,CR0603-FX-2203ELF,06X5131,0.1,,0.015,0.0254,,0.015,0.0114,,0.01,Arrow,CR0603-FX-2203ELF,0.0023,0.0023,0.0023,0.0115,0.0115,0.0115,0.0115,0.115,1.15
3,ERT-J1VV104J,Panasonic,ERT-J1VV104J,3,30,300,P10555DKR-ND,ERT-J1VV104J,55T6150,0.39,0.39,0.096,0.22,0.22,0.096,0.1431,0.118,0.096,Newark,55T6150,0.096,0.096,0.096,0.288,0.288,0.288,0.288,2.88,28.8
12,CRM2512-FX-10R0ELF,Bourns,CRM2512-FX-10R0ELF,12,120,1200,CRM2512-FX-10R0ELFDKR-ND,CRM2512-FX-10R0ELF,87W5948,0.321,0.181,0.338,0.1349,0.098,0.222,0.07445,0.098,0.101,Mouser,CRM2512-FX-10R0ELF,0.181,0.098,0.07445,2.172,1.176,0.8934,2.172,11.76,89.34
2,CSS2725FTL500,Stackpole Electronics,CSS2725FTL500,2,20,200,CSS2725FTL500DKR-ND,,,1.29,,,1.188,,,0.9075,,,Digi-Key,CSS2725FTL500DKR-ND,1.29,1.188,0.9075,2.58,2.376,1.815,2.58,23.76,181.5
3,RMCF0603FT2M00,Stackpole Electronics,RMCF0603FT2M00,3,30,300,RMCF0603FT2M00DKR-ND,,,0.1,,,0.025,,,0.0078,,,Digi-Key,RMCF0603FT2M00DKR-ND,0.1,0.025,0.0078,0.3,0.075,0.0234,0.3,0.75,2.34
1,RC1608F2554CS,Stackpole Electronics,RC1608F2554CS,1,10,100,1276-4953-6-ND,,,0.1,,,0.019,,,0.0078,,,Digi-Key,1276-4953-6-ND,0.1,0.019,0.0078,0.1,0.019,0.0078,0.1,0.19,0.78
2,CR0603-FX-3302ELF,Bourns,CR0603-FX-3302ELF,2,20,200,CR0603-FX-3302ELFDKR-ND,CR0603-FX-3302ELF,06X5136,0.1,,0.015,0.046,,0.015,0.0187,,0.015,Arrow,CR0603-FX-3302ELF,0.0023,0.0023,0.0023,0.0046,0.0046,0.0046,0.0046,0.046,0.46
2,CR0603-J/-000ELF,Bourns,CR0603-J/-000ELF,2,20,200,CR0603-J/-000ELFCT-ND,CR0603-J/-000ELF,84W7241,0.1,,0.003,0.029,,0.003,0.0117,,0.003,Newark,84W7241,0.003,0.003,0.003,0.006,0.006,0.006,0.006,0.06,0.6
1,RMCF0603FT374K,Stackpole Electronics,RMCF0603FT374K,1,10,100,RMCF0603FT374KCT-ND,,,0.1,,,0.025,,,0.0105,,,Digi-Key,RMCF0603FT374KCT-ND,0.1,0.025,0.0105,0.1,0.025,0.0105,0.1,0.25,1.05
1,STM32F303CCT6,STMicroelectronics,STM32F303CCT6,1,10,100,497-13318-ND,STM32F303CCT6,46W2192,7.83,7.83,7.68,7.047,7.05,6.56,5.7942,6.42,5.23,Avnet Express,STM32F303CCT6,4.61,4.1,4.1,4.61,4.1,4.1,4.61,41,410
1,ADM3054BRWZ-RL7,Analog Devices,ADM3054BRWZ-RL7,1,10,100,ADM3054BRWZ-RL7CT-ND,ADM3054BRWZ-RL7,72T3515,5.88,5.42,,5.27,4.84,,4.3097,4.35,,Mouser,ADM3054BRWZ-RL7,5.42,4.84,4.3097,5.42,4.84,4.3097,5.42,48.4,430.97
2,LT1999CMS8-50#PBF,Linear Technology,LT1999CMS8-50#PBF,2,20,200,LT1999CMS8-50#PBF-ND,,24T0466,4.1,,3.02,4.1,,3.02,2.24,,2.24,Newark,24T0466,3.02,3.02,2.24,6.04,6.04,4.48,6.04,60.4,448
1,LT3990IMSE-3.3#PBF,Linear Technology,LT3990IMSE-3.3#PBF,1,10,100,LT3990IMSE-3.3#PBF-ND,,24W8547,6.18,,,6.18,,,3.51,,,Digi-Key,LT3990IMSE-3.3#PBF-ND,6.18,6.18,3.51,6.18,6.18,3.51,6.18,61.8,351
1,LTC6803HG-3#PBF,Linear Technology,LTC6803HG-3#PBF,1,10,100,LTC6803HG-3#PBF-ND,,59T9370,19.03,,,19.03,,,12.98,,12.98,Arrow,LTC6803HG-3#PBF,15.53,15.5,12.98,15.53,15.5,12.98,15.53,155,1298
1,LTC1754ES6-5#TRMPBF,Linear Technology,LTC1754ES6-5#TRMPBF,1,10,100,LTC1754ES6-5#TRMPBFDKR-ND,,56M3715,3.46,,,3.46,,,2.7813,,,Digi-Key,LTC1754ES6-5#TRMPBFDKR-ND,3.46,3.46,2.7813,3.46,3.46,2.7813,3.46,34.6,278.13
1,ABS07-32.768KHZ-1-T,Abracon,ABS07-32.768KHZ-1-T,1,10,100,535-9808-1-ND,ABS07-32.768KHZ-1-T,11N6974,1.28,1.28,,1.137,1.13,,0.94,1.06,,Future Electronics,ABS07-32.768KHZ-1-T,0.6778,0.6778,0.6778,0.6778,0.6778,0.6778,0.6778,6.778,67.78
1,ABLS-8.000MHZ-B4-T,Abracon,ABLS-8.000MHZ-B4-T,1,10,100,535-10212-1-ND,ABLS-8.000MHZ-B4-T,47W0860,0.35,0.33,,0.289,0.267,,0.231,0.252,,Mouser,ABLS-8.000MHZ-B4-T,0.33,0.267,0.231,0.33,0.267,0.231,0.33,2.67,23.1
